Chemical,Plant Part,Compound_ID,SMILES,InChIKey,Molecular_Weight,LogP,HBD,HBA,Rotatable_Bonds,TPSA,Bioactivity_Label,Standard_SMILES,Mol,MolWt,LogP,TPSA,HBD,HBA,Lipinski_OK,Has_Reactive
STRYCHNINE,Seed,CID_441071,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,QMGVPVSNSZLJIA-FVWCLLPLSA-N,334.4,1.9,0,3,0,32.8,Active,O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46,<rdkit.Chem.rdchem.Mol object at 0x000001A9E1A33F40>,334.41900000000004,2.0925000000000002,32.78,0,3,TRUE,FALSE
VOMICINE,Fruit,CID_101595,CN1CC[C@]23[C@@H]4[C@H]5[C@@H](CC2=O)C(=CCO[C@H]5CC(=O)N4C6=C3C=CC=C6O)C1,ZMTYENXGROJCEA-LNKPQSDASA-N,380.4,-0.1,1,5,0,70.1,Active,CN1CC[C@]23C(=O)C[C@H]4C(=CCO[C@H]5CC(=O)N(c6c(O)cccc62)[C@H]3[C@H]54)C1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A8040>,380.4440000000001,1.6148,70.08,1,5,TRUE,FALSE
XYLOSE,Seed,CID_135191,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,SRBFZHDQGSBBOR-IOVATXLUSA-N,150.13,-2.5,4,5,0,90.2,Active,OC1OC[C@@H](O)[C@H](O)[C@H]1O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A80B0>,150.13,-2.5823,90.15,4,5,TRUE,FALSE
BENZOIC-ACID,"Resin, Exudate, Sap",CID_243,C1=CC=C(C=C1)C(=O)O,WPYMKLBDIGXBTP-UHFFFAOYSA-N,122.12,1.9,1,2,1,37.3,Active,O=C(O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A8190>,122.12299999999996,1.3848,37.3,1,1,TRUE,FALSE
CINNAMIC-ACID,"Resin, Exudate, Sap",CID_444539,C1=CC=C(C=C1)/C=C/C(=O)O,WBYWAXJHAXSJNI-VOTSOKGWSA-N,148.16,2.1,1,2,2,37.3,Active,O=C(O)/C=C/c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A8200>,148.161,1.7844,37.3,1,1,TRUE,FALSE
CINNAMYL-CINNAMATE,Plant,CID_1550890,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2,NQBWNECTZUOWID-MZXMXVKLSA-N,264.3,4.4,0,2,6,26.3,Active,O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A8270>,264.324,3.956400000000003,26.3,0,2,TRUE,FALSE
CONIFERYL-BENZOATE,Plant,CID_6441293,COC1=C(C=CC(=C1)/C=C/COC(=O)C2=CC=CC=C2)O,LAAPRQODJPXAHC-AATRIKPKSA-N,284.31,3.5,1,4,6,55.8,Active,COc1cc(/C=C/COC(=O)c2ccccc2)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A82E0>,284.31100000000004,3.271000000000002,55.760000000000005,1,4,TRUE,FALSE
RESIN,Plant,CID_133110026,C[C@H]1CC[C@H]2[C@H](C2(C)C)C3=C(CCC13)C,SPCXZDDGSGTVAW-GXWLMAPZSA-N,204.35,4.1,0,0,0,0,Active,CC1=C2C(CC1)[C@@H](C)CC[C@H]1[C@@H]2C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A8350>,204.357,4.415000000000004,0,0,0,TRUE,FALSE
STYRENE,Plant,CID_7501,C=CC1=CC=CC=C1,PPBRXRYQALVLMV-UHFFFAOYSA-N,104.15,2.9,0,0,1,0,Active,C=Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A83C0>,104.15199999999997,2.3296,0,0,0,TRUE,FALSE
BENZOIC-ACID,"Resin, Exudate, Sap",CID_243,C1=CC=C(C=C1)C(=O)O,WPYMKLBDIGXBTP-UHFFFAOYSA-N,122.12,1.9,1,2,1,37.3,Active,O=C(O)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001A9E19A84A0>,122.12299999999996,1.3848,37.3,1,1,TRUE,FALSE
